Train_No,Total_Distance,Number_of_Stops,Start_Departure_Minute,End_Arrival_Minute,Journey_Duration_Minutes
11082,1731,19,785.0,1380.0,2035.0
11083,1153,29,690.0,900.0,1650.0
11084,1153,28,1065.0,1395.0,1770.0
11085,574,11,333.0,1050.0,717.0
11086,578,11,360.0,1030.0,670.0
11087,1053,26,505.0,280.0,1215.0
11088,1053,25,1190.0,1005.0,1255.0
11089,1074,26,330.0,280.0,1390.0
11090,1072,26,1190.0,1030.0,1280.0
11091,981,24,535.0,280.0,1185.0
11092,981,24,1190.0,920.0,1170.0
11093,1516,27,10.0,280.0,1710.0
11094,1515,26,680.0,855.0,1615.0
11095,623,17,975.0,280.0,745.0
11096,622,16,1190.0,465.0,715.0
11097,1278,33,1410.0,490.0,1960.0
11098,1279,32,1410.0,305.0,1775.0
11101,1373,23,25.0,190.0,1605.0
11102,1373,23,900.0,1205.0,1745.0
11103,1321,21,1010.0,1005.0,1435.0
11104,1321,21,310.0,400.0,1530.0
11107,629,31,1240.0,650.0,850.0
11108,629,37,1065.0,545.0,920.0
11109,291,11,370.0,725.0,355.0
11110,291,11,1000.0,1355.0,355.0
11111,939,12,785.0,540.0,1195.0
11112,941,12,715.0,370.0,1095.0
11123,1051,49,1125.0,1255.0,1570.0
11124,1054,49,710.0,780.0,1510.0
11125,561,11,1205.0,467.0,702.0
11126,561,11,1170.0,475.0,745.0
11201,1015,26,1000.0,855.0,1295.0
11202,1015,26,975.0,825.0,1290.0
11203,1340,28,715.0,845.0,1570.0
11204,1340,28,990.0,1155.0,1605.0
11205,699,20,1000.0,555.0,995.0
11206,699,20,1395.0,825.0,870.0
11265,432,14,840.0,1380.0,540.0
11266,434,14,375.0,895.0,520.0
11272,737,47,1095.0,730.0,1075.0
11301,1154,35,490.0,530.0,1480.0
11302,1154,34,1245.0,1215.0,1410.0
11303,989,38,1390.0,1360.0,1410.0
11304,987,38,455.0,405.0,1390.0
11307,221,7,615.0,890.0,275.0
11308,223,7,960.0,1260.0,300.0
11309,267,14,360.0,725.0,365.0
11310,267,14,925.0,1255.0,330.0
11401,1053,34,995.0,975.0,1420.0
11402,1052,34,360.0,335.0,1415.0
11403,1026,22,900.0,840.0,1380.0
11404,1026,22,770.0,755.0,1425.0
11405,811,18,1320.0,900.0,1020.0
11406,812,18,1110.0,795.0,1125.0
11407,1478,17,1320.0,150.0,1710.0
11408,1478,17,390.0,665.0,1715.0
11423,357,14,385.0,870.0,485.0
11424,356,14,900.0,1395.0,495.0
11447,1156,45,1430.0,255.0,1705.0
11448,1155,46,790.0,865.0,1515.0
11449,1561,34,390.0,920.0,1970.0
11450,1564,31,1315.0,445.0,2010.0
11463,1416,50,570.0,910.0,1780.0
11464,1417,50,720.0,1065.0,1785.0
11465,1572,49,570.0,1080.0,1950.0
11466,1575,50,600.0,1065.0,1905.0
11651,344,14,930.0,1345.0,415.0
11652,345,14,295.0,715.0,420.0
11701,751,16,340.0,1230.0,890.0
11702,751,16,250.0,1175.0,925.0
11703,823,20,1390.0,965.0,1015.0
11704,821,20,1210.0,735.0,965.0
11801,215,6,1045.0,1350.0,305.0
11802,215,6,310.0,605.0,295.0
11901,292,13,330.0,760.0,430.0
11902,294,13,895.0,1295.0,400.0
12001,688,10,900.0,1410.0,510.0
12002,690,10,360.0,865.0,505.0
12003,504,7,935.0,1335.0,400.0
12004,504,7,370.0,760.0,390.0
12005,268,5,1035.0,1280.0,245.0
12006,268,5,375.0,620.0,245.0
12007,498,4,360.0,780.0,420.0
12008,499,4,855.0,1285.0,430.0
12009,490,9,385.0,765.0,380.0
12010,490,9,880.0,1280.0,400.0
12011,268,6,460.0,705.0,245.0
12012,268,6,1065.0,1315.0,250.0
12013,447,8,990.0,1350.0,360.0
12014,447,8,300.0,660.0,360.0
12015,442,10,365.0,765.0,400.0
12016,442,10,945.0,1360.0,415.0
12017,314,8,405.0,760.0,355.0
12018,314,8,1020.0,1365.0,345.0
12019,436,10,365.0,795.0,430.0
12020,434,10,825.0,1290.0,465.0
12021,402,10,380.0,785.0,405.0
12022,401,11,825.0,1250.0,425.0
12023,530,14,845.0,1365.0,520.0
12024,531,14,335.0,805.0,470.0
12025,598,8,350.0,860.0,510.0
12026,598,8,885.0,1390.0,505.0
12027,360,4,1050.0,1350.0,300.0
12028,361,4,360.0,660.0,300.0
12029,447,8,440.0,825.0,385.0
12030,447,8,1010.0,1385.0,375.0
12031,447,8,440.0,825.0,385.0
12032,447,8,1010.0,1385.0,375.0
12033,430,5,360.0,680.0,320.0
12034,430,4,950.0,1245.0,295.0
12035,240,4,425.0,635.0,210.0
12036,240,4,1060.0,1280.0,220.0
12037,328,7,420.0,745.0,325.0
12038,328,7,1000.0,1330.0,330.0
12039,283,8,935.0,1265.0,330.0
12040,283,8,360.0,700.0,340.0
12041,560,7,855.0,1350.0,495.0
12042,560,7,330.0,815.0,485.0
12043,397,8,420.0,845.0,425.0
12044,397,8,900.0,1330.0,430.0
12045,243,4,1155.0,1365.0,210.0
12046,243,4,720.0,925.0,205.0
12047,385,10,980.0,1370.0,390.0
12048,385,10,240.0,680.0,440.0
12049,181,2,1070.0,1170.0,100.0
12050,183,2,490.0,590.0,100.0
12051,581,9,325.0,845.0,520.0
12052,585,9,870.0,1385.0,515.0
12053,406,11,885.0,1325.0,440.0
12054,406,11,410.0,850.0,440.0
12055,304,9,920.0,1270.0,350.0
12056,304,10,305.0,675.0,370.0
12057,386,14,875.0,1330.0,455.0
12058,386,14,300.0,720.0,420.0
12059,447,10,355.0,750.0,395.0
12060,450,10,795.0,1200.0,405.0
12061,330,10,1060.0,1375.0,315.0
12062,330,10,330.0,660.0,330.0
12065,389,10,345.0,755.0,410.0
12066,389,10,930.0,1345.0,415.0
12067,376,11,390.0,800.0,410.0
12068,375,11,870.0,1280.0,410.0
12069,419,15,385.0,805.0,420.0
12070,411,15,900.0,1320.0,420.0
12071,422,7,840.0,1290.0,450.0
12072,422,7,285.0,750.0,465.0
12073,442,9,805.0,1220.0,415.0
12074,441,9,360.0,760.0,400.0
12075,399,12,820.0,1265.0,445.0
12076,398,12,360.0,780.0,420.0
12077,453,10,455.0,885.0,430.0
12078,453,10,920.0,1355.0,435.0
12079,470,11,360.0,805.0,445.0
12080,468,11,840.0,1285.0,445.0
12081,500,15,290.0,840.0,550.0
12082,499,15,880.0,1430.0,550.0
12083,361,10,890.0,1275.0,385.0
12084,361,10,430.0,820.0,390.0
12085,506,10,730.0,1275.0,545.0
12086,505,10,300.0,835.0,535.0
12087,332,8,300.0,660.0,360.0
12088,332,8,920.0,1300.0,380.0
12101,1956,16,1235.0,215.0,1860.0
12102,1963,17,1370.0,350.0,1860.0
12103,1478,13,975.0,1030.0,1495.0
12104,1478,13,390.0,485.0,1535.0
12105,971,26,1145.0,675.0,970.0
12106,972,27,890.0,420.0,970.0
12107,1408,11,985.0,910.0,1365.0
12108,1408,11,1365.0,1380.0,1455.0
12109,260,10,1095.0,1370.0,275.0
12110,260,10,362.0,645.0,283.0
12111,676,14,1195.0,485.0,730.0
12112,676,14,1145.0,385.0,680.0
12113,895,9,1060.0,565.0,945.0
12114,895,9,1115.0,585.0,910.0
12115,456,14,1365.0,410.0,485.0
12116,457,15,1365.0,410.0,485.0
12117,244,10,900.0,1165.0,265.0
12118,244,10,515.0,780.0,265.0
12119,180,5,330.0,495.0,165.0
12120,180,5,1110.0,1300.0,190.0
12121,883,7,1150.0,545.0,835.0
12122,886,7,1045.0,465.0,860.0
12123,191,5,1030.0,1225.0,195.0
12124,191,4,435.0,625.0,190.0
12125,190,8,985.0,1190.0,205.0
12126,190,7,470.0,675.0,205.0
12127,191,6,400.0,597.0,197.0
12128,191,5,1075.0,1265.0,190.0
12129,2026,30,1105.0,250.0,2025.0
12130,2033,30,1310.0,410.0,1980.0
12131,330,8,1305.0,225.0,360.0
12132,330,8,1345.0,270.0,365.0
12133,903,14,1322.0,760.0,878.0
12134,909,14,835.0,265.0,870.0
12135,895,18,1060.0,565.0,945.0
12136,895,18,1115.0,585.0,910.0
12137,1910,56,1175.0,350.0,2055.0
12138,1913,54,1300.0,455.0,2035.0
12139,841,33,900.0,370.0,910.0
12140,841,33,1260.0,720.0,900.0
12141,1693,14,1415.0,240.0,1705.0
12142,1692,13,665.0,915.0,1690.0
12143,1540,14,1000.0,1200.0,1640.0
12144,1541,14,1435.0,250.0,1695.0
12145,1888,27,1235.0,450.0,2095.0
12146,1895,27,1285.0,450.0,2045.0
12147,1897,22,545.0,1030.0,1925.0
12148,1900,22,350.0,980.0,2070.0
12149,1757,19,1255.0,210.0,1835.0
12150,1756,19,1375.0,330.0,1835.0
12151,2089,24,1235.0,505.0,2150.0
12152,2095,23,1275.0,450.0,2055.0
12153,820,10,985.0,320.0,775.0
12154,820,10,1100.0,450.0,790.0
12155,681,10,1265.0,480.0,655.0
12156,683,10,1255.0,425.0,610.0
12157,265,4,1080.0,1320.0,240.0
12158,265,4,390.0,630.0,240.0
12159,725,20,1065.0,415.0,790.0
12160,725,20,1250.0,590.0,780.0
12161,1320,21,985.0,780.0,1235.0
12162,1320,21,1415.0,1380.0,1405.0
12163,1278,24,1230.0,1185.0,1395.0
12164,1281,22,410.0,360.0,1390.0
12165,1488,16,323.0,425.0,1542.0
12166,1487,16,1220.0,1290.0,1510.0
12167,1500,13,35.0,225.0,1630.0
12168,1500,13,625.0,745.0,1560.0
12169,265,5,570.0,810.0,240.0
12170,265,5,840.0,1085.0,245.0
12171,1756,12,475.0,795.0,1760.0
12172,1759,12,1125.0,1425.0,1740.0
12173,1581,13,985.0,1145.0,1600.0
12174,1581,13,110.0,360.0,1690.0
12175,1291,31,1065.0,1035.0,1410.0
12176,1292,31,435.0,405.0,1410.0
12177,1451,34,1065.0,1220.0,1595.0
12178,1453,34,265.0,405.0,1580.0
12179,323,14,955.0,1315.0,360.0
12180,323,14,350.0,705.0,355.0
12181,1024,22,1225.0,860.0,1075.0
12182,1024,22,930.0,525.0,1035.0
12183,754,11,1160.0,540.0,820.0
12184,754,11,1150.0,530.0,820.0
12185,555,15,1320.0,480.0,600.0
12186,557,15,1205.0,365.0,600.0
12187,996,15,1170.0,735.0,1005.0
12188,996,15,810.0,360.0,990.0
12189,937,29,1090.0,700.0,1050.0
12190,938,28,965.0,575.0,1050.0
12191,1021,24,845.0,435.0,1030.0
12192,1019,24,1050.0,710.0,1100.0
12193,1747,20,950.0,1335.0,1825.0
12194,1734,20,405.0,810.0,1845.0
12195,375,14,305.0,710.0,405.0
12196,375,14,900.0,1300.0,400.0
12197,484,11,930.0,15.0,525.0
12198,484,11,380.0,900.0,520.0
12201,1513,25,1015.0,1225.0,1650.0
12202,1517,25,525.0,705.0,1620.0
12203,1711,23,895.0,1265.0,1810.0
12204,1714,23,250.0,610.0,1800.0
12205,304,7,1430.0,340.0,350.0
12206,304,7,1415.0,320.0,345.0
12207,768,16,1110.0,585.0,915.0
12208,768,16,1395.0,880.0,925.0
12209,415,12,375.0,890.0,515.0
12210,415,12,1150.0,275.0,565.0
12211,1057,14,915.0,755.0,1280.0
12212,1059,14,1255.0,1085.0,1270.0
12213,2350,7,1420.0,420.0,1880.0
12214,2351,6,1380.0,475.0,1975.0
12215,1431,18,560.0,490.0,1370.0
12216,1429,18,765.0,735.0,1410.0
12217,3086,22,560.0,945.0,3265.0
12218,3084,22,570.0,885.0,3195.0
12219,774,4,1385.0,665.0,720.0
12220,774,4,1385.0,665.0,720.0
12221,2026,8,915.0,1180.0,1705.0
12222,2033,8,500.0,705.0,1645.0
12223,1301,6,1250.0,1070.0,1260.0
12224,1306,6,1290.0,1095.0,1245.0
12225,795,15,985.0,425.0,880.0
12226,796,15,1155.0,570.0,855.0
12227,831,5,1395.0,665.0,710.0
12228,831,5,1380.0,700.0,760.0
12229,492,9,1335.0,430.0,535.0
12230,492,9,1325.0,405.0,520.0
12231,644,16,1350.0,610.0,700.0
12232,644,16,1270.0,530.0,700.0
12235,2446,26,1095.0,835.0,2620.0
12236,2448,26,565.0,375.0,2690.0
12237,1253,13,770.0,685.0,1355.0
12238,1253,13,840.0,760.0,1360.0
12239,1157,5,1395.0,875.0,920.0
12240,1158,5,1150.0,700.0,990.0
12241,247,6,1030.0,1285.0,255.0
12242,247,6,315.0,555.0,240.0
12243,491,6,435.0,855.0,420.0
12244,493,6,925.0,1335.0,410.0
12245,1957,6,655.0,960.0,1745.0
12246,1959,6,660.0,975.0,1755.0
12247,1355,7,995.0,580.0,1025.0
12248,1358,7,935.0,560.0,1065.0
12249,1425,7,1120.0,680.0,1000.0
12250,1426,7,1190.0,760.0,1010.0
12251,1611,25,1420.0,270.0,1730.0
12252,1605,26,480.0,810.0,1770.0
12253,2478,29,810.0,510.0,2580.0
12254,2477,29,810.0,545.0,2615.0
12257,798,19,1260.0,780.0,960.0
12258,797,19,1020.0,570.0,990.0
12259,1448,5,1110.0,690.0,1020.0
12260,1449,5,1180.0,755.0,1015.0
12261,1972,7,1035.0,1180.0,1585.0
12262,1979,7,500.0,630.0,1570.0
12263,1498,7,670.0,415.0,1185.0
12264,1501,7,655.0,430.0,1215.0
12265,577,3,1335.0,445.0,550.0
12266,577,3,1160.0,260.0,540.0
12267,490,2,1405.0,355.0,390.0
12268,490,2,1420.0,360.0,380.0
